#{"t_start": 1780643299.747448, "env_id": "MountainCar-v0"}
r,l,t
-111.0,111,48.555794
-115.0,115,48.570366
-182.0,182,48.59266
-112.0,112,48.606744
-115.0,115,48.621741
-113.0,113,48.636398
-149.0,149,48.655538
-152.0,152,48.673993
-112.0,112,48.687471
-114.0,114,48.701279
-112.0,112,48.715076
-161.0,161,48.734532
-118.0,118,48.74867
-113.0,113,48.762237
-142.0,142,48.779322
-113.0,113,48.792939
-161.0,161,49.117661
-151.0,151,49.136757
-113.0,113,49.150217
-163.0,163,49.170294
-170.0,170,49.19108
-120.0,120,49.205666
-110.0,110,49.219034
-115.0,115,49.233014
-116.0,116,49.246901
-117.0,117,49.261028
-154.0,154,49.279565
-166.0,166,49.299471
-147.0,147,49.317522
-114.0,114,49.331518
-161.0,161,49.351108
-110.0,110,49.67116
-122.0,122,49.685949
-114.0,114,49.699645
-114.0,114,49.713643
-111.0,111,49.727363
-111.0,111,49.740944
-152.0,152,49.759668
-144.0,144,49.77725
-150.0,150,49.79546
-185.0,185,49.817759
-112.0,112,49.831432
-114.0,114,49.845353
-113.0,113,49.859024
-115.0,115,49.873145
-107.0,107,49.886496
-114.0,114,49.900139
-117.0,117,50.233097
-153.0,153,50.25198
-115.0,115,50.265968
-157.0,157,50.285016
-150.0,150,50.303134
-119.0,119,50.317507
-114.0,114,50.331781
-111.0,111,50.345311
-161.0,161,50.364802
-114.0,114,50.379007
-167.0,167,50.399258
-146.0,146,50.416918
-111.0,111,50.430321
-161.0,161,50.449624
-114.0,114,50.463275
-145.0,145,50.784651
-114.0,114,50.798524
-160.0,160,50.817773
-157.0,157,50.853203
-159.0,159,50.892566
-169.0,169,50.913389
-110.0,110,50.926833
-109.0,109,50.940142
-126.0,126,50.955295
-149.0,149,50.973714
-112.0,112,50.988065
-112.0,112,51.001492
-116.0,116,51.015681
-170.0,170,51.036294
-110.0,110,51.109999
-147.0,147,51.434851
-113.0,113,51.448734
-115.0,115,51.463082
-111.0,111,51.476816
-116.0,116,51.491186
-117.0,117,51.505454
-161.0,161,51.52494
-86.0,86,51.535193
-112.0,112,51.548302
-113.0,113,51.561351
-114.0,114,51.574468
-172.0,172,51.59433
-156.0,156,51.612953
-112.0,112,51.626287
-113.0,113,51.640088
-113.0,113,51.65388
-112.0,112,51.667463
-111.0,111,51.987937
-165.0,165,52.008408
-154.0,154,52.027193
-111.0,111,52.040715
-114.0,114,52.054582
-113.0,113,52.068359
-114.0,114,52.082346
-115.0,115,52.096237
-146.0,146,52.113669
-114.0,114,52.126876
-112.0,112,52.140114
-113.0,113,52.153788
-107.0,107,52.166654
-170.0,170,52.187399
-118.0,118,52.2016
-157.0,157,52.220361
-114.0,114,52.233957
-111.0,111,52.553942
-114.0,114,52.5678
-113.0,113,52.581385
-117.0,117,52.595974
-112.0,112,52.609605
-116.0,116,52.62362
-159.0,159,52.64313
-113.0,113,52.656797
-106.0,106,52.669532
-111.0,111,52.682871
-129.0,129,52.698346
-115.0,115,52.712102
-110.0,110,52.725411
-115.0,115,52.739247
-113.0,113,52.752838
-112.0,112,52.766298
-90.0,90,52.777122
-118.0,118,53.09365
-160.0,160,53.112882
-147.0,147,53.130446
-112.0,112,53.143753
-111.0,111,53.156992
-164.0,164,53.176383
-110.0,110,53.189414
-112.0,112,53.202694
-110.0,110,53.215728
-110.0,110,53.228749
-113.0,113,53.242144
-154.0,154,53.260382
-152.0,152,53.278348
-88.0,88,53.288864
-117.0,117,53.302713
-149.0,149,53.320344
-113.0,113,53.333727
-178.0,178,53.660532
-147.0,147,53.67876
-112.0,112,53.692735
-112.0,112,53.70644
-148.0,148,53.724297
-112.0,112,53.737895
-149.0,149,53.755873
-166.0,166,53.775758
-90.0,90,53.786572
-110.0,110,53.799846
-169.0,169,53.820497
-159.0,159,53.910036
-85.0,85,53.920097
-147.0,147,53.938342
-162.0,162,53.957758
-159.0,159,54.283635
-155.0,155,54.301606
-142.0,142,54.318005
-164.0,164,54.337217
-147.0,147,54.355362
-143.0,143,54.372786
-154.0,154,54.391395
-85.0,85,54.401764
-154.0,154,54.421263
-157.0,157,54.440951
-111.0,111,54.45558
-149.0,149,54.4761
-147.0,147,54.496015
-158.0,158,54.516756
-153.0,153,54.89161
-148.0,148,54.909985
-111.0,111,54.923858
-152.0,152,54.942558
-113.0,113,54.956414
-168.0,168,54.977433
-161.0,161,54.997396
-116.0,116,55.011897
-114.0,114,55.025809
-149.0,149,55.044698
-147.0,147,55.062854
-121.0,121,55.077598
-162.0,162,55.097242
-115.0,115,55.110993
-90.0,90,55.121919
-119.0,119,55.443679
-112.0,112,55.4574
-156.0,156,55.476681
-110.0,110,55.490103
-164.0,164,55.509368
-114.0,114,55.522948
-112.0,112,55.53653
-121.0,121,55.551174
-111.0,111,55.564672
-113.0,113,55.578776
-87.0,87,55.589408
-113.0,113,55.603313
-113.0,113,55.617513
-154.0,154,55.636139
-116.0,116,55.650104
-114.0,114,55.663833
-110.0,110,55.677153
-108.0,108,55.994303
-115.0,115,56.008707
-151.0,151,56.027071
-113.0,113,56.041003
-111.0,111,56.054388
-115.0,115,56.06829
-111.0,111,56.081631
-114.0,114,56.095434
-161.0,161,56.114784
-114.0,114,56.128186
-159.0,159,56.14713
-86.0,86,56.157513
-155.0,155,56.176485
-114.0,114,56.190315
-112.0,112,56.203865
-116.0,116,56.217824
-117.0,117,56.232148
-117.0,117,56.566255
-165.0,165,56.587773
-118.0,118,56.602366
-117.0,117,56.616638
-116.0,116,56.630663
-114.0,114,56.644859
-120.0,120,56.660241
-113.0,113,56.675314
-112.0,112,56.689548
-118.0,118,56.70499
-114.0,114,56.719838
-172.0,172,56.793821
-172.0,172,56.814871
-154.0,154,56.834993
-117.0,117,56.849667
-116.0,116,56.86467
-115.0,115,57.191226
-112.0,112,57.20493
-113.0,113,57.218699
-117.0,117,57.233014
-116.0,116,57.247174
-113.0,113,57.260868
-112.0,112,57.274458
-117.0,117,57.288921
-117.0,117,57.304204
-114.0,114,57.318933
-118.0,118,57.334889
-119.0,119,57.34941
-112.0,112,57.36303
-114.0,114,57.377036
-115.0,115,57.391069
-111.0,111,57.404114
-112.0,112,57.4172
-116.0,116,57.431362
-113.0,113,57.751352
-115.0,115,57.765422
